gym_code,name,region,district,address,status,note
HBD-GYM-0004,더클라임 양재점,서울,강남구,서울 강남구 남부순환로 2615,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0005,무중력클라이밍,서울,강남구,서울 강남구 논현로 563,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0006,역삼클라이밍랩,서울,강남구,서울 강남구 테헤란로30길 49,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0008,클라이밍파크 신논현점,서울,강남구,서울 강남구 강남대로 468,미확보 — 사진 필요 (AI 생성 후보),기존 링크 사망(410) — 새 사진 필요
HBD-GYM-0010,클라임이모션,서울,강남구,서울 강남구 논현로76길 27,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0011,강동클라이밍짐,서울,강동구,서울 강동구 천호대로 1178,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0014,쿠키즈클라이밍,서울,강동구,서울 강동구 양재대로 1620,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0016,강서클라이밍센터,서울,강서구,서울 강서구 공항대로 284,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0017,더클라임 마곡점,서울,강서구,서울 강서구 마곡동로 62,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0018,더플라스틱클라이밍 염창점,서울,강서구,서울 강서구 공항대로81길 27,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0019,어거스트 클라이밍 가양점,서울,강서구,서울 강서구 양천로 461,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0021,더클라임 사당점,서울,관악구,서울 관악구 과천대로 939,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0024,보라매스포츠클라이밍,서울,관악구,서울 관악구 관천로 81,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0028,레드포인트클라이밍,서울,광진구,서울 광진구 천호대로109길 9,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0030,조규복클라이밍센터 강변점,서울,광진구,서울 광진구 구의강변로 45,재수집본 있음 — 눈검사 대기 (GYMS/photos_review),출처 블로그 대표이미지로 재수집한 사진. 확인 후 사용 가능
HBD-GYM-0033,썬 클라이밍 짐,서울,구로구,서울 구로구 구로동로 215-1,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0035,클라임잇 구로점,서울,구로구,서울 구로구 구로중앙로 215,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0037,어거스트 클라이밍 가산점,서울,금천구,서울 금천구 디지털로 121,미확보 — 사진 필요 (AI 생성 후보),기존 링크 사망(410) — 새 사진 필요
HBD-GYM-0041,오름클라이밍,서울,노원구,서울 노원구 상계로12길 32,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
HBD-GYM-0042,태릉스파이더스 클라이밍센터,서울,노원구,서울 노원구 동일로174길 37-8,미확보 — 사진 필요 (AI 생성 후보),직접 이미지 URL 없음
